"","WSPRU-II-5-A","WSPRU-II-5-B","WSPRU-II-3-A","WSPRU-II-3-B","WSPRU-II-10-B","WSPRU-II-4-B","WSPRU-II-6-A","WSPRU-II-4-A","WSPRU-II-6-B","WSPRU-II-8-B","WSPRU-II-8-A","WSPRU-II-9-B","WSPRU-II-10-A","WSPRU-II-9-A","WSPRU-QQ-11-B","WSPRU-QQ-11-A","WSPRU-II-7-B","WSPRU-II-7-A","WSPRU-QQ-12-B","WSPRU-QQ-12-A","WSPRU-II-2-A","WSPRU-II-2-B","WSPRU-QQ-6-B","WSPRU-QQ-6-A","WSPRU-QQ-2-B","WSPRU-QQ-2-A","WSPRU-QQ-3-B","WSPRU-QQ-3-A","WSPRU-QQ-5-A","WSPRU-QQ-5-B","WSPRU-QQ-7-A","WSPRU-QQ-7-B","WSPRU-QQ-9-A","WSPRU-QQ-8-A","WSPRU-QQ-8-B","WSPRU-QQ-9-B","WSPRU-QQ-4-A","WSPRU-QQ-4-B","WSPRU-QQ-10-A","WSPRU-QQ-10-B","WSPRU-II-1-A","WSPRU-II-1-B","WSPRU-QQ-1-B","WSPRU-QQ-1-A"
"1985",1.298,1.24,1.036,1.272,0.431,0.38,0.213,0.72,0.527,1.039,1.62,0.719,0.745,0.428,1.433,2.057,0.953,0.77,0.551,0.463,0.944,0.841,1.053,1.362,0.76,0.615,0.944,0.801,0.83,1.026,0.8,1.233,1.313,1.241,0.726,1.672,1.406,1.122,0.508,0.684,0.743,1.257,0.174,0.161
"1986",1.426,1.368,1.973,2.298,0.723,0.897,0.916,1.222,1.296,1.559,1.884,1.535,1.218,0.968,1.941,1.684,1.265,1.13,0.327,0.353,0.979,0.799,1.075,0.856,0.742,0.478,0.829,0.808,0.71,0.905,0.659,1.076,1.17,1.826,1.075,1.732,1.444,1.138,0.367,0.727,1.334,1.535,0.26,0.177
"1987",1.268,1.145,1.434,1.924,0.658,0.733,0.494,1.046,0.836,1.638,2.185,1.25,1.035,0.742,2.299,2.223,1.096,0.837,0.618,0.453,0.785,0.755,1.376,1.285,1.036,0.875,0.99,0.913,1.103,1.278,0.882,1.991,1.357,1.894,1.491,2.03,1.395,1.177,0.484,0.686,1.361,1.307,0.306,0.249
"1988",1.679,1.453,1.923,2.375,0.792,1.205,0.73,1.288,1.246,2.145,3.054,1.621,1.576,1.49,1.714,1.978,1.753,1.256,0.525,0.382,0.875,0.814,1.504,1.373,0.87,1.064,1.027,1.057,1.041,1.238,1.388,2.199,1.754,2.042,2.149,1.928,1.194,1.398,0.549,0.664,1.616,1.532,0.269,0.268
"1989",1.559,1.126,1.897,1.953,1.037,1.42,0.692,1.625,1.032,2.819,3.016,1.171,1.399,0.976,2.373,2.504,1.471,1.324,0.663,0.427,0.67,0.581,2.156,1.595,1.288,2.039,1.407,1.329,1.185,1.713,2.121,2.385,1.976,3.156,3.453,2.204,2.275,1.501,0.871,0.815,1.515,1.759,0.634,0.509
"1990",1.09,0.838,1.065,1.323,0.68,1.003,0.494,1.15,0.654,1.466,1.652,0.901,0.983,0.472,2.726,2.475,0.988,0.842,0.69,0.573,0.619,0.52,2.25,1.786,1.377,2.631,1.366,1.785,1.386,1.855,2.048,2.078,2.318,3.042,3.083,2.332,2.373,1.912,1.124,0.808,0.952,1.041,0.57,0.519
"1991",1.131,1.178,1.533,1.722,0.827,1.251,0.848,1.643,1.338,1.634,2.185,1.235,1.375,0.719,1.528,1.351,1.091,1.072,0.43,0.415,0.87,0.606,1.302,1.181,1.042,1.854,0.817,1.169,1.155,1.571,1.291,1.157,1.437,1.864,1.958,1.462,1.86,1.429,0.625,0.422,1.627,1.754,0.505,0.554
"1992",1.039,1.003,1.528,1.883,0.801,1.197,0.823,1.465,1.054,1.883,2.886,1.33,1.296,0.883,2.262,1.937,1.293,1.083,0.486,0.55,0.564,0.369,1.633,1.342,1.272,2.169,0.991,1.042,1.279,1.696,1.477,1.191,1.914,1.843,1.978,2.224,1.762,1.373,0.647,0.447,1.948,1.785,0.589,0.432
"1993",0.72,0.96,1.324,1.826,0.835,1.293,0.848,1.59,1.156,1.92,3.277,1.366,1.523,0.841,2.088,2.143,1.426,1.037,0.486,0.395,0.51,0.485,1.532,1.493,1,2.034,1.029,1.082,1.457,1.633,1.703,1.278,1.5,1.829,1.95,1.727,1.261,1.115,0.462,0.354,1.202,1.381,0.335,0.254
"1994",1.307,1.375,1.288,1.631,0.774,1.306,0.258,1.58,0.478,1.889,2.617,1.13,1.35,0.915,2.121,1.932,1.301,0.924,0.489,0.456,0.551,0.553,1.829,1.628,1.096,2.094,1.1,1.48,1.109,1.683,1.532,1.642,1.915,2.29,2.327,2.203,1.536,1.335,0.887,0.49,1.438,1.53,0.466,0.297
